brand_name,model,prices,rating,has_5g,has_nfc,has_ir_blaster,processor_manufacturer,processor_brand,processor_model,cpu_core_type,num_core,cpu_clock_speed_ghz,ram_capacity,internal_memory,battrey_capacity,fast_charging_watt,fast_charging_supported,display_size_inches,display_resolution_width_px,display_resolution_height_px,display_refresh_rate_hz,display_notch_type,rear_camera_count,rear_cam_1,front_camers_count,front_camera_primary,memory_card_supported,memory_card_slot_type,memory_card_max_gb,os
wobble,Wobble One 5G (8GB RAM + 256GB),28999,66.0,True,False,False,MediaTek,Dimensity,Dimensity 7400,Octa Core,8.0,2.6,8.0,256.0,5000,33.0,True,6.67,1080,1920,120.0,Punch Hole,3.0,50,1,50,,,,Android
realme,Realme P4 Lite 5G (4GB RAM + 128GB),18999,50.0,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,4.0,128.0,7000,15.0,True,6.81,720,1570,144.0,Punch Hole,1.0,13,1,5,Yes,Hybrid,,Android
oppo,Oppo A6s 5G (6GB RAM + 128GB),24999,54.0,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,6.0,128.0,6500,45.0,True,6.75,720,1570,120.0,Punch Hole,2.0,50,1,5,Yes,Hybrid,,Android
apple,Apple iPhone 17e (512GB),84900,64.0,True,True,False,Apple,Apple,Apple A19,Hexa Core,6.0,,8.0,512.0,4005,,True,6.1,1170,2532,,Small Notch,1.0,48,1,12,No,Not Supported,,iOS
coolpad,Coolpad C35c 4G,10499,,False,False,False,MediaTek,Helio,Helio G81,Octa Core,8.0,2.0,4.0,64.0,5000,10.0,True,6.56,720,1600,,Water Drop Notch,1.0,13,1,5,Yes,Dedicated,,Android
nokia,Nokia 110 Power,1806,,False,False,False,,,,,,,4.0,4.0,1750,,False,2.0,,,,,1.0,,1,,,,,S30+ / Feature OS
peace,Peace Honor 20 (4GB RAM + 64GB),6800,,False,False,False,MediaTek,Helio,Helio,Single Core,1.0,,4.0,64.0,2000,,False,4.5,412,960,,,1.0,8,1,5,,,,Android
tecno,Tecno Spark GO 3,12499,,False,False,True,Unisoc,Unisoc,Unisoc T7250,Octa Core,8.0,1.8,4.0,64.0,5000,15.0,True,6.74,720,1600,120.0,Punch Hole,1.0,13,1,8,Yes,Dedicated,1024.0,Android
realme,Realme 16 Pro 5G (12GB RAM + 256GB),47599,,True,False,False,MediaTek,Dimensity,Dimensity 7300 Max,Octa Core,8.0,2.5,12.0,256.0,7000,80.0,True,6.78,1272,2772,144.0,Punch Hole,2.0,200,1,50,No,Not Supported,,Android
xiaomi,Xiaomi Redmi 15C 5G (8GB RAM + 128GB),21995,57.0,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,8.0,128.0,6000,33.0,True,6.9,720,1600,120.0,Punch Hole,2.0,50,1,8,Yes,Dedicated,1024.0,Android
motorola,Motorola Moto A300,1403,,False,False,False,,,,,,0.002,4.0,32.0,1000,,False,2.0,320,240,,,1.0,1.3,1,,Yes,Dedicated,64.0,Not Specified
oppo,Oppo F31 5G (8GB RAM + 256GB),36999,66.0,True,False,True,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,8.0,256.0,7000,80.0,True,6.57,1080,2412,120.0,Punch Hole,2.0,50,1,16,Yes,Hybrid,,Android
oppo,Oppo F31 Pro Plus 5G (12GB RAM + 256GB),34999,71.0,True,False,False,Qualcomm,Snapdragon,Snapdragon 7 Gen3,Octa Core,8.0,2.63,12.0,256.0,7000,80.0,True,6.8,1280,2800,120.0,Punch Hole,2.0,50,1,32,,,,Android
apple,Apple iPhone 17 Pro (1TB),169490,76.0,True,True,False,Apple,Apple,Apple A19 Pro,Hexa Core,6.0,,12.0,1.0,3988,,True,6.3,1206,2622,120.0,Dynamic Island,3.0,48,1,18,No,Not Supported,,iOS
lava,Lava Bold N1 5G,11999,,True,False,False,Unisoc,Unisoc,Unisoc T765,Octa Core,8.0,2.3,4.0,64.0,5000,10.0,True,6.75,720,1600,,Water Drop Notch,1.0,13,1,5,Yes,Dedicated,,Android
vivo,Vivo X Fold 5 5G,139999,,True,True,True,Qualcomm,Snapdragon,Snapdragon 8 Gen3,Octa Core,8.0,3.3,16.0,512.0,6000,80.0,True,8.03,2200,2480,120.0,Punch Hole,3.0,50,2,20,,,,Android
samsung,Samsung Galaxy F06 5G (6GB RAM + 128GB),15999,,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,6.0,128.0,5000,25.0,True,6.7,720,1600,,Water Drop Notch,2.0,50,1,8,Yes,Hybrid,1024.0,Android
vivo,Vivo Y300 5G,26999,61.0,True,False,False,Qualcomm,Snapdragon,Snapdragon 4 Gen2,Octa Core,8.0,2.2,8.0,128.0,5000,80.0,True,6.67,1080,2400,120.0,Punch Hole,2.0,50,1,32,Yes,Hybrid,2048.0,Android
realme,Realme GT 7 Pro 5G,64999,79.0,True,True,True,Qualcomm,Snapdragon,Snapdragon 8 Elite,Octa Core,8.0,4.32,12.0,256.0,5800,120.0,True,6.78,1264,2780,120.0,Punch Hole,3.0,50,1,16,No,Not Supported,,Android
